epoch,loss,lr,val_loss
0,17699147.257762264,1e-04,14918389.808264462
1,13136105.95721569,1e-04,12674214.018181818
2,11864256.691989712,1e-04,10710579.092561983
3,11098253.664810307,1e-04,10206595.052892562
4,10508688.581928624,1e-04,9841464.507438017
5,9993112.590012401,1e-04,9327429.952066116
6,9568870.063981261,1e-04,9073534.072727272
7,9161735.658873783,1e-04,8781130.137190083
8,8812842.58169897,1e-04,8635435.634710744
9,8451596.01932528,1e-04,8288481.634710744
10,8144577.350163054,1e-04,7890854.580991736
11,7867862.815990722,1e-04,7624541.928925619
12,7593039.000275583,1e-04,7210730.476859504
13,7343560.0202438915,1e-04,6966084.73553719
14,7101266.907932206,1e-04,6758353.181818182
15,6860394.58683171,1e-04,6448088.519008265
16,6636641.340379845,1e-04,6482359.5
17,6424021.469456182,1e-04,6093238.37768595
18,6227304.852689234,1e-04,5899783.229752067
19,6046970.459282565,1e-04,5642901.718181818
20,5836638.828219731,1e-04,5448351.440495868
21,5660578.926976162,1e-04,5230593.504958678
22,5507456.777787984,1e-04,5199578.742148761
23,5346851.466706091,1e-04,4963727.790082645
24,5196011.017700487,1e-04,4797870.528099174
25,5062569.310438867,1e-04,4971236.326446281
26,4926036.845420724,1e-04,4448631.643801653
27,4811664.750505236,1e-04,4433906.198760331
28,4712171.663397943,1e-04,4318390.024380165
29,4582988.903919024,1e-04,4221016.903719008
30,4476188.176780957,1e-04,4268234.454132231
31,4381687.531651893,1e-04,4074601.573553719
32,4297333.898206412,1e-04,3917253.076859504
33,4187210.8975748667,1e-04,3997648.969834711
34,4125960.148212153,1e-04,3953580.5392561983
35,4050380.1807309845,1e-04,3680155.6103305784
36,3984998.18728183,1e-04,3698291.8384297523
37,3905313.9208846223,1e-04,3570607.296694215
38,3850195.8326405473,1e-04,3625583.2219008263
39,3805768.287025767,1e-04,3400385.3541322313
40,3747371.9812431103,1e-04,3577252.7876033057
41,3686439.6113126953,1e-04,3365975.5595041323
42,3654196.62695779,1e-04,3422423.9301652894
43,3624322.5474003307,1e-04,3411742.7409090907
44,3581012.6798238563,1e-04,3308531.5859504133
45,3516299.3731914843,1e-04,3141443.0760330576
46,3508297.40607489,1e-04,3150778.2979338844
47,3458071.655153408,1e-04,3087182.4789256197
48,3453372.308613127,1e-04,3104016.949173554
49,3420402.2254673433,1e-04,3085624.3603305784
50,3376778.2562178485,1e-04,3136601.094214876
51,3368525.195951222,1e-04,3046084.590909091
52,3313427.0043059895,1e-04,3016123.932644628
53,3323221.0993363033,1e-04,3018710.3871900826
54,3284418.175770485,1e-04,2948716.6272727274
55,3254031.1505431286,1e-04,2937612.002479339
56,3256075.056836189,1e-04,2925781.881818182
57,3237104.6627549147,1e-04,2884341.5479338844
58,3211930.2925776225,1e-04,2927293.129752066
59,3211978.6628898354,1e-04,2951638.672727273
60,3157779.502893625,1e-04,2893288.1797520663
61,3186132.184353757,1e-04,2829925.47107438
62,3162598.559141328,1e-04,2916493.526446281
63,3122996.9084948557,1e-04,2857032.0760330576
64,3131607.3172251056,1e-04,2848775.711157025
65,3136770.8741388023,1e-04,2829558.088016529
66,3119800.677797171,1e-04,2811407.154545455
67,3095509.458806035,1e-04,2824808.8669421487
68,3095024.193654694,1e-04,2762183.1880165287
69,3071749.319808699,1e-04,2787693.5330578513
70,3074024.8322960683,1e-04,2816780.7309917356
71,3042085.9623139813,1e-04,2802542.9297520663
72,3072071.9618977355,1e-04,2820923.8425619835
73,3054633.7144296574,1e-04,2839368.8958677687
74,3040741.2434348017,1e-04,2775118.7066115704
75,3028717.5866479883,1e-04,2730500.0103305783
76,3022711.2614797675,1e-04,2772644.367355372
77,3023387.3528184136,1e-04,2702430.81446281
78,2994133.3646828495,1e-04,2690810.028512397
79,2997377.830263641,1e-04,2745543.5743801654
80,2997797.6549122725,1e-04,2744475.595454545
81,3019222.9466803693,1e-04,2791733.4768595044
82,3034376.6538185515,1e-04,2730248.2289256197
83,2979465.7129771034,1e-04,2673887.817768595
84,2993175.2908494854,1e-04,2716200.540495868
85,2960442.53773482,1e-04,2703226.599586777
86,2960156.326566232,1e-04,2667158.8466942147
87,2957309.5201836075,1e-04,2690787.953305785
88,2937037.5346718263,1e-04,2702246.0702479337
89,2933262.3908288167,1e-04,2677955.67107438
90,2965045.2926551304,1e-04,2672791.05661157
91,2935638.210367674,1e-04,2630871.7590909093
92,2919081.7966022873,1e-04,2630775.1760330577
93,2925965.3744143853,1e-04,2659527.461570248
94,2952183.935031233,1e-04,2708383.1719008265
95,2922566.5614608214,1e-04,2684113.8603305784
96,2901665.7624701452,1e-04,2748926.018181818
97,2928431.819584788,1e-04,2695004.1479338845
98,2911761.39249667,1e-04,2598358.123966942
99,2902963.099600404,1e-04,2613540.1921487604
100,2915985.4697489897,1e-04,2665279.44338843
101,2921470.6269922378,1e-04,2649574.943801653
102,2891341.529762998,1e-04,2605101.7219008263
103,2891898.5311868456,1e-04,2584997.5090909093
104,2881389.0688699936,1e-04,2606785.2132231407
105,2887291.110442885,1e-04,2606847.0599173554
106,2879030.8095977632,1e-04,2638821.182644628
107,2911222.366517201,1e-04,2624187.891735537
108,2902535.5601632833,1e-04,2636131.6454545455
109,2907460.5979268095,1e-04,2629667.241735537
110,2875957.1697822893,1e-04,2600496.8504132233
111,2866265.0880201636,1e-04,2597606.985950413
112,2865112.3969863816,1e-04,2591419.951239669
113,2842504.56894176,1e-04,2601275.9549586778
114,2841155.619511299,1e-05,2552373.364049587
115,2819207.8837153222,1e-05,2554935.229752066
116,2827011.5195434503,1e-05,2556520.1276859506
117,2798258.927449821,1e-05,2580752.823553719
118,2818236.0581078907,1e-05,2563266.0842975206
119,2817614.6439578356,1e-05,2558285.753305785
120,2799322.3688682714,1e-05,2565232.8504132233
121,2810623.968907886,1e-05,2555041.67107438
122,2801123.080260771,1e-05,2554157.4644628097
123,2783533.054683194,1e-05,2565895.770661157
124,2830035.1349009047,1e-05,2554116.5252066115
125,2819083.3168404372,1e-06,2551970.473553719
126,2809579.012570618,1e-06,2554961.5760330576
127,2803891.166486772,1e-06,2552346.0805785125
128,2807012.9575802637,1e-06,2552424.8012396693
129,2794122.0890823076,1e-06,2556393.1148760333
130,2804626.9129443783,1e-06,2552941.973553719
131,2808492.420586074,1e-06,2552268.935123967
132,2786660.643510013,1e-06,2554241.550413223
133,2786435.4490515343,1e-06,2552605.0661157025
134,2791038.3626217158,1e-06,2550016.302479339
135,2812597.6282581985,1e-06,2553596.778512397
136,2794764.786595168,1e-06,2551038.8669421487
137,2784887.515312098,1e-06,2551502.7983471076
138,2796127.06411044,1e-06,2553430.120247934
139,2834676.027627228,1e-06,2550624.6834710743
140,2793800.488304933,1e-06,2550373.5962809916
141,2789251.2840862116,1e-06,2552853.8458677684
142,2804649.797518028,1e-06,2548865.0694214874
143,2808666.6569963717,1e-06,2553055.437190083
144,2794478.0975134345,1e-06,2550864.2404958676
145,2782133.5841562557,1e-06,2552099.7305785124
146,2815799.864545058,1e-06,2550821.0367768593
147,2797277.2182160574,1e-06,2549952.361570248
148,2799553.087365653,1e-06,2550404.378099174
149,2814070.191530406,1e-06,2547673.6834710743
150,2808294.2973773656,1e-06,2551013.1805785126
151,2798700.1941828956,1e-06,2551220.9074380165
152,2798519.31315164,1e-06,2552604.8809917355
153,2805640.4536445895,1e-06,2550360.2
154,2824173.6118983096,1e-06,2551831.67107438
155,2769081.115785183,1e-06,2552917.643801653
156,2803401.2341797953,1e-06,2547392.146280992
157,2788587.4193000183,1e-06,2550146.8925619833
158,2797258.584454804,1e-06,2555586.7347107437
159,2821419.305484108,1e-06,2551018.0214876034
160,2800400.139809733,1e-06,2551871.433057851
161,2802111.5749586625,1e-06,2547407.631818182
162,2809197.147345214,1e-06,2552569.662396694
163,2795983.3635862577,1e-06,2553904.211570248
164,2802559.091608488,1e-06,2552057.3400826445
165,2800174.27285045,1e-06,2550573.894214876
166,2819176.5391845033,1e-06,2549411.985123967
167,2801184.7656623186,1e-07,2551957.9
168,2815313.246029878,1e-07,2551550.443801653
169,2793281.572593239,1e-07,2550718.6367768594
170,2785637.7833714173,1e-07,2552077.026033058
171,2796638.548250046,1e-07,2551020.9809917356
172,2782786.656738012,1e-07,2551533.1128099174
173,2795388.117105686,1e-07,2549714.4566115704
174,2800969.0706411907,1e-07,2550656.3752066116
175,2801687.588671803,1e-07,2551431.2553719007
176,2789399.555343446,1e-07,2552235.017768595
