epoch,loss,lr,val_loss
0,16486208.643369831,1e-04,23046195.685089976
1,13257671.412349958,1e-04,13202082.939374464
2,12043100.21318591,1e-04,12216602.644815767
3,11297620.28845444,1e-04,10231123.654241646
4,10653556.984401794,1e-04,10048799.85646958
5,9966986.359290155,1e-04,9262092.535561267
6,9377994.102541203,1e-04,9345725.355398457
7,8853059.345920263,1e-04,8260665.014138818
8,8424108.656324426,1e-04,8446449.208868895
9,8027893.661867676,1e-04,7552446.113217652
10,7687426.785145458,1e-04,7515324.113646101
11,7382787.796295221,1e-04,7115249.7486075405
12,7097693.804729179,1e-04,6655599.883890317
13,6833006.411656306,1e-04,6248497.035561268
14,6596147.239914529,1e-04,6070662.927485004
15,6368590.00813923,1e-04,5874187.797450729
16,6192527.428902306,1e-04,5596836.97622108
17,5982961.661584858,1e-04,5408183.7776349615
18,5790693.516451129,1e-04,5258070.761139674
19,5633355.108004073,1e-04,5229392.976113968
20,5492752.967176634,1e-04,4948899.916238218
21,5323041.512372582,1e-04,4915359.925128534
22,5197399.461447318,1e-04,4759381.507497857
23,5074141.866260151,1e-04,4569566.43723222
24,4992053.917128853,1e-04,4628211.279455869
25,4821311.377434848,1e-04,4420497.3942802055
26,4733826.101992683,1e-04,4399806.3449014565
27,4648778.138658664,1e-04,4295117.130569837
28,4571324.865631996,1e-04,4274990.414524422
29,4472668.696373815,1e-04,4078954.98479006
30,4424541.701352172,1e-04,4055287.6982647814
31,4325954.343448575,1e-04,3764886.4888603254
32,4265681.959693841,1e-04,3767033.666773779
33,4210914.725263022,1e-04,3802666.271101114
34,4133214.3174344455,1e-04,3701015.5956512424
35,4097366.266562768,1e-04,3752190.4959297343
36,4035772.73359055,1e-04,3631730.5538774636
37,3989722.5816587475,1e-04,3533841.5344901457
38,3942120.815113842,1e-04,3659339.9102399317
39,3915982.7661188166,1e-04,3452851.7752249357
40,3879843.4542320874,1e-04,3484338.927056555
41,3847662.7116877143,1e-04,3419007.4994644388
42,3788384.515785016,1e-04,3353118.3427056554
43,3740708.2871594266,1e-04,3383975.5268851756
44,3730188.659249741,1e-04,3360923.898243359
45,3717370.59385829,1e-04,3306307.2658526134
46,3675036.4654596252,1e-04,3224426.830227078
47,3680644.810755454,1e-04,3303641.2712617824
48,3663144.489910064,1e-04,3265255.516334619
49,3623571.0672714524,1e-04,3301684.5422022277
50,3601443.2141300044,1e-04,3260159.436214653
51,3588853.1291135265,1e-04,3225352.4633676093
52,3560500.253404991,1e-04,3252637.9368037703
53,3539972.14960971,1e-04,3115622.6324443016
54,3549064.893491146,1e-04,3197353.2303984575
55,3530842.0849141423,1e-04,3228387.357219366
56,3474576.403787615,1e-04,3067365.2570158527
57,3482291.5161977084,1e-04,3170617.715402742
58,3452881.573312613,1e-04,3086551.5633568983
59,3472156.057501548,1e-04,3105648.751285347
60,3463416.8914072174,1e-04,3084985.1603470435
61,3412929.4278528984,1e-04,3038723.545201371
62,3421458.230545409,1e-04,3071817.686589546
63,3410936.6668311483,1e-04,3051104.8313517566
64,3411666.98663383,1e-04,3070721.331887318
65,3381182.3895391244,1e-04,2983598.9101328193
66,3419822.06028657,1e-04,3069184.4858076265
67,3411135.0036074296,1e-04,3016746.2389674378
68,3393689.85875131,1e-04,3076421.1654348755
69,3366282.2387944176,1e-04,2980351.0795844044
70,3351139.4659634894,1e-04,3000544.9723650385
71,3309974.275292941,1e-04,3033414.3756426736
72,3323241.104031211,1e-04,3006300.0939910025
73,3329123.919393264,1e-04,2925290.891548843
74,3295866.229367617,1e-04,3088848.365788346
75,3319528.291255091,1e-04,2972538.5766388173
76,3295026.2996957465,1e-04,2892529.1619537277
77,3310855.2429782767,1e-04,2908142.1083440445
78,3287093.5824018917,1e-04,2963425.4707047986
79,3256795.958412969,1e-04,2936461.8980291346
80,3281266.1789309597,1e-04,2917567.0851542414
81,3254322.7027424504,1e-04,2964267.3520244216
82,3278684.604239232,1e-04,2880726.281169666
83,3257094.5796764106,1e-04,2953847.6185732647
84,3257181.2335741757,1e-04,2959589.838528278
85,3262044.693542649,1e-04,2900056.628695373
86,3270229.170139013,1e-04,2893027.0145672667
87,3250955.1080915234,1e-04,2871384.378856041
88,3251901.613704734,1e-04,2917015.5838688947
89,3254006.760008812,1e-04,2927107.25096401
90,3256024.359683124,1e-04,2874507.180912596
91,3233603.606069368,1e-04,2884012.079477292
92,3203983.989690507,1e-04,2838613.5261353897
93,3218098.0909724208,1e-04,2899793.0108183376
94,3189444.7657500356,1e-04,2847268.5073907454
95,3203786.798610615,1e-04,2856461.2291666665
96,3198960.6742156986,1e-04,2851975.720437018
97,3218031.766356608,1e-04,2826116.3270137105
98,3184545.107691111,1e-04,2891289.8414203087
99,3181086.759365027,1e-04,2795919.0735861184
100,3195783.2445107084,1e-04,2863126.738324764
101,3168459.280547046,1e-04,2866647.305912596
102,3152065.6067001284,1e-04,2799669.153277635
103,3177827.2359085483,1e-04,2818357.9419987146
104,3179514.8503709394,1e-04,2840191.278277635
105,3165567.713190376,1e-04,2815637.615252785
106,3142591.736567591,1e-04,2844528.305377035
107,3193904.2653239467,1e-04,2893627.881373179
108,3160581.995006758,1e-04,2778391.606790917
109,3157275.0768229165,1e-04,2865358.2160454155
110,3159104.770991489,1e-04,2780474.14947515
111,3126114.925724686,1e-04,2770460.2488753214
112,3154756.5759130586,1e-04,2835811.23146958
113,3120632.8671941985,1e-04,2833426.8959404454
114,3136208.972200763,1e-04,2770181.949657241
115,3132175.109405515,1e-04,2825918.4250214226
116,3131104.6375266444,1e-04,2770602.73146958
117,3125556.6258960892,1e-04,2904179.177377892
118,3120225.284343146,1e-04,2832121.2031919453
119,3111681.2153055635,1e-04,2795628.7418059125
120,3125587.1162627568,1e-04,2756286.926842331
121,3103729.0851039286,1e-04,2790748.8829263067
122,3112630.4221957764,1e-04,2824894.858879606
123,3081607.3197059277,1e-04,2780132.690874036
124,3083958.045329916,1e-04,2744714.1956940875
125,3110903.0799130853,1e-04,2877913.5644280207
126,3113458.708497815,1e-04,2823910.5327227935
127,3100366.707280949,1e-04,2775210.3622536417
128,3088454.7491351697,1e-04,2773999.7872750643
129,3062899.5478150006,1e-04,2732809.0319730076
130,3062608.200396542,1e-04,2763942.215724079
131,3087093.499746207,1e-04,2766795.3182840617
132,3095716.0419465085,1e-04,2785227.082904884
133,3098442.82054657,1e-04,2853244.568123393
134,3069866.7901446545,1e-04,2718461.761407455
135,3054490.3722507027,1e-04,2724756.9762210795
136,3064301.1670566592,1e-04,2703579.0533419023
137,3062993.1147634443,1e-04,2730717.383890317
138,3031343.576044793,1e-04,2872962.7687446442
139,3095502.925045549,1e-04,2701773.8287275066
140,3035353.224120954,1e-04,2741232.8536846614
141,3049182.4195305803,1e-04,2691914.280848329
142,3062444.001713287,1e-04,2747729.276670951
143,3039793.2986902506,1e-04,2717593.8184447302
144,3018933.052072914,1e-04,2689430.534061697
145,3047726.9496597243,1e-04,2700115.3834083118
146,3041075.374613357,1e-04,2683982.299057412
147,3020665.3298446136,1e-04,2679305.3131426736
148,3025419.86226273,1e-04,2688282.879177378
149,3039273.208833476,1e-04,2715613.0623393315
150,3023242.5462217256,1e-04,2700185.6871786634
151,3018682.1158545297,1e-04,2684852.3608611827
152,3021249.720571205,1e-04,2714526.3715188517
153,3009112.085566114,1e-04,2708048.205655527
154,2999258.8389249607,1e-04,2668040.773296915
155,3002159.4998638006,1e-04,2659187.043916024
156,3010299.729845246,1e-04,2668761.848436161
157,3018914.8203560393,1e-04,2678890.335582691
158,3005029.5570162903,1e-04,2693787.4524421594
159,3013859.7716721147,1e-04,2663607.184554413
160,3004681.0157574783,1e-04,2711406.0825299914
161,3012731.955372666,1e-04,2647295.978791774
162,2989422.8446178073,1e-04,2669366.757230077
163,2994668.510299632,1e-04,2673424.808697515
164,2978638.8248379747,1e-04,2799608.154616538
165,2982959.033831839,1e-04,2657612.7097257925
166,3003105.331661725,1e-04,2662061.4169344474
167,2989239.1628793124,1e-04,2652818.607647815
168,2979814.858619576,1e-04,2661446.9983933163
169,2949270.3095951523,1e-04,2659108.436696658
170,2970991.0214849333,1e-04,2734112.3685732647
171,2997774.066371642,1e-04,2669514.6956940875
172,2953644.0161411446,1e-05,2621772.9179520137
173,2965528.3210690403,1e-05,2630108.007122965
174,2930146.2519462407,1e-05,2619269.3746786634
175,2938151.981063042,1e-05,2611350.4082047986
176,2913387.379755451,1e-05,2618521.1479755784
177,2894569.3213829324,1e-05,2626170.377410026
178,2922980.70109503,1e-05,2611708.2814374464
179,2934915.802862574,1e-05,2620835.518583976
180,2927569.673533584,1e-05,2613040.872322194
181,2920680.701323146,1e-05,2629664.7794023138
182,2930514.807517922,1e-05,2622988.800664096
183,2944845.086306281,1e-05,2617508.7926842333
184,2921940.830430718,1e-05,2621272.6398886032
185,2933242.632858272,1e-05,2617611.8089652956
186,2904964.5237925122,1e-06,2610712.596615253
187,2891634.636609716,1e-06,2615351.4756855182
188,2904252.3702118015,1e-06,2611649.020619109
189,2920178.109034501,1e-06,2614247.695051414
190,2925753.1585144117,1e-06,2613420.6683804626
191,2913192.9916601917,1e-06,2613702.7520351326
192,2904388.054993763,1e-06,2614119.8955119965
193,2915278.108791872,1e-06,2614503.094847901
194,2908195.439350975,1e-06,2613144.364288775
195,2923603.713556552,1e-06,2610433.045736932
196,2933257.42922978,1e-06,2614272.3159811483
197,2905253.857633431,1e-06,2611420.8758568983
198,2904705.953602815,1e-06,2613367.2751713796
199,2895584.084618671,1e-06,2614967.7957904884
