epoch,loss,lr,val_loss
0,16962873.308662593,1e-04,16530944.74764353
1,13050092.623419192,1e-04,11438751.870608397
2,11748288.456916261,1e-04,10396477.297772065
3,10932343.47113461,1e-04,10162621.108397601
4,10288416.601875834,1e-04,9280127.167952014
5,9751068.480811482,1e-04,9400938.358611826
6,9303125.025176836,1e-04,8684322.898671808
7,8911714.154161606,1e-04,8422383.36782348
8,8576610.946568066,1e-04,8225288.616323908
9,8255084.889172948,1e-04,7739770.136675236
10,7937560.876649281,1e-04,7407767.941730934
11,7678955.190165941,1e-04,7117427.679627249
12,7400095.427092264,1e-04,6990993.292630677
13,7164315.7278203,1e-04,6961615.549485861
14,6922120.540882961,1e-04,6773329.193337617
15,6693599.012212567,1e-04,6330967.054413025
16,6481101.735515207,1e-04,6159065.521101114
17,6299945.070604994,1e-04,6360255.990145673
18,6105003.9840728305,1e-04,5829141.56940874
19,5923071.790546555,1e-04,5587606.676413882
20,5783331.513137682,1e-04,5419010.8399742935
21,5628755.861732816,1e-04,5273309.877999143
22,5460818.188356644,1e-04,5437355.067909169
23,5330480.557691335,1e-04,4941611.763389031
24,5207909.401927336,1e-04,5046766.251499572
25,5076539.372361598,1e-04,4847573.683376178
26,4967281.454794376,1e-04,4845160.894065981
27,4882041.858944817,1e-04,4724362.138281919
28,4776038.185471146,1e-04,4472770.773136247
29,4702159.248800997,1e-04,4654529.877570694
30,4597079.599626679,1e-04,4218667.265852613
31,4480788.874731694,1e-04,4158088.336332476
32,4415553.7697095005,1e-04,4112756.3043059125
33,4369263.869992617,1e-04,4026389.8695372753
34,4296626.444878596,1e-04,3943880.3182305056
35,4225466.284395244,1e-04,3865076.4914310197
36,4171930.7369211144,1e-04,3807558.9889674378
37,4126814.87884857,1e-04,3789688.7718509
38,4045814.4631449757,1e-04,3756092.398243359
39,4044601.0454437877,1e-04,3618787.858076264
40,3961274.7064857073,1e-04,3559056.7953084833
41,3927793.0566151342,1e-04,3709419.347579263
42,3865864.140522292,1e-04,3473661.3940659813
43,3845947.855332178,1e-04,3508392.264085261
44,3809542.901813837,1e-04,3470487.138067695
45,3758870.6213985244,1e-04,3522034.7434661523
46,3753544.4094064077,1e-04,3391854.951103256
47,3692316.880250756,1e-04,3586784.023671808
48,3682458.7518089246,1e-04,3307476.755516281
49,3660256.333431948,1e-04,3321135.5678020567
50,3602582.8787964717,1e-04,3253036.6361396746
51,3571139.7344799405,1e-04,3252842.5988646103
52,3555628.5669108583,1e-04,3172884.9769708654
53,3549459.279394187,1e-04,3141877.707904884
54,3559936.4175817347,1e-04,3263510.241538132
55,3518014.006079118,1e-04,3376342.0008568983
56,3489340.4399902946,1e-04,3127207.925342759
57,3466094.304237967,1e-04,3156865.8379391604
58,3444244.922020131,1e-04,3118182.785025707
59,3452908.6741182003,1e-04,3076329.9522279347
60,3422362.9930143734,1e-04,3021984.7537489287
61,3401899.7619863115,1e-04,3037004.338581834
62,3413507.673279047,1e-04,2995538.748553985
63,3357612.192103622,1e-04,2999460.0351328193
64,3355058.512705639,1e-04,2989785.4003856042
65,3341323.025476401,1e-04,2968765.750053556
66,3341096.8132703095,1e-04,3103418.4630998285
67,3324668.1620768136,1e-04,3014509.8560946872
68,3342902.002504064,1e-04,2998436.450567695
69,3322609.2860329887,1e-04,2994165.453084833
70,3289789.9431400043,1e-04,3081304.4388389033
71,3275733.902440876,1e-04,2952945.7599078836
72,3264395.120954201,1e-04,2997748.91896958
73,3251782.568845563,1e-04,2938264.192909169
74,3239120.6116889054,1e-04,3002511.2301842333
75,3252094.667442558,1e-04,2945833.8870501285
76,3244124.345960825,1e-04,2890046.420951157
77,3241932.888651222,1e-04,2899851.7438410455
78,3286350.696012477,1e-04,2940347.00096401
79,3229319.167294078,1e-04,2882071.442909169
80,3205211.8848807993,1e-04,2859430.056930163
81,3220048.637679218,1e-04,2873875.30227078
82,3185062.7219145945,1e-04,2923704.7848114823
83,3220390.0948053612,1e-04,2836999.274796487
84,3162642.384106024,1e-04,2804980.983986718
85,3166107.4010669715,1e-04,2860539.2718509
86,3164716.151980179,1e-04,2943279.017030848
87,3191774.792550848,1e-04,2843150.493198372
88,3153122.603884592,1e-04,2805761.7937017996
89,3150866.670462766,1e-04,2838382.528170523
90,3161906.5133676585,1e-04,2794043.301092545
91,3122803.3610830773,1e-04,2812190.8912810627
92,3129149.6692187353,1e-04,2784376.931448158
93,3141532.1773587097,1e-04,2835056.2721722363
94,3117032.2817694936,1e-04,2800299.4139888603
95,3117870.8618295705,1e-04,2784832.8806769494
96,3174659.491143675,1e-04,2789972.54134533
97,3101854.596676431,1e-04,2754107.627463582
98,3106069.9887635307,1e-04,2763898.997322194
99,3106471.2373073855,1e-04,2768125.0619108826
100,3078495.773360841,1e-04,2752125.2832583548
101,3086855.2945774687,1e-04,2781505.5837617824
102,3083218.126424514,1e-04,2775386.327120823
103,3085367.8825646616,1e-04,2722022.2408954585
104,3053357.079340377,1e-04,2735158.9172022277
105,3069034.947220783,1e-04,2861876.582904884
106,3094566.6271259794,1e-04,2718814.3790702657
107,3081066.2171937516,1e-04,2722735.415970437
108,3064360.628789029,1e-04,2773498.0956512424
109,3058487.0069513908,1e-04,2774324.4407133674
110,3037209.0419409266,1e-04,2737206.8761246786
111,3052835.22843878,1e-04,2789505.6552056554
112,3070319.460571324,1e-04,2715732.728470437
113,3028750.4176505785,1e-04,2725934.89020994
114,3033383.965087123,1e-04,2724000.521958012
115,3029781.2096923525,1e-04,2702873.9642780633
116,3032936.6971288673,1e-04,2749401.1616323907
117,2998147.0389114153,1e-04,2738146.2831512424
118,3028087.845554831,1e-04,2724076.0170844044
119,3057911.775456678,1e-04,2859406.029884319
120,3027442.991135116,1e-04,2710114.680698372
121,3024084.770008693,1e-04,2794219.039363753
122,3001668.8528225324,1e-04,2692353.267298629
123,3000157.36202345,1e-04,2685261.061589546
124,3006751.955696977,1e-04,2662639.0166559555
125,2995988.9256513766,1e-04,2677197.213260497
126,2992694.9635602734,1e-04,2665301.068069837
127,2996726.1854227697,1e-04,2665471.0779777206
128,3014482.899588871,1e-04,2649577.7328620395
