epoch,loss,lr,val_loss
0,18168566.044212036,1e-04,20521740.06598115
1,15007763.219199533,1e-04,14576210.569194516
2,14062692.260793263,1e-04,13454046.94344473
3,13337702.27521256,1e-04,12946821.272922022
4,12472200.886845646,1e-04,12542064.58419023
5,11224291.746686554,1e-04,11586179.666666666
6,10330207.430953486,1e-04,9721577.740359897
7,9784585.59713043,1e-04,9470811.709940016
8,9347954.227116974,1e-04,8582365.642673522
9,8970409.125379574,1e-04,8830459.24335904
10,8648020.558531605,1e-04,8474768.566409597
11,8354170.201955023,1e-04,8079575.011996573
12,8068947.691462441,1e-04,7613166.014781491
13,7809375.540974504,1e-04,7403192.774207369
14,7580734.948602875,1e-04,7236066.604434447
15,7328421.005069901,1e-04,6812947.363967438
16,7110028.090464835,1e-04,6581951.941945159
17,6911452.190609519,1e-04,6576494.282026564
18,6753098.469166041,1e-04,6113197.472257926
19,6556378.6144017335,1e-04,6123425.022922022
20,6352414.437921995,1e-04,5981241.147707798
21,6210692.881920876,1e-04,5696422.81940874
22,6071385.759907593,1e-04,5580438.208868895
23,5936257.16929986,1e-04,5525649.5560197085
24,5765918.815538814,1e-04,5430931.479434447
25,5647738.156177807,1e-04,5212146.578834618
26,5533492.6020685965,1e-04,5183268.827763496
27,5403628.670734793,1e-04,5064177.541880891
28,5288170.103547442,1e-04,4833090.742502143
29,5178317.435500173,1e-04,4904038.236718081
30,5084946.177693627,1e-04,4594812.562339332
31,4993105.217828606,1e-04,4639168.512532134
32,4901434.487102342,1e-04,4439514.794987147
33,4837797.3404425075,1e-04,4405285.761675236
34,4734515.307878144,1e-04,4321471.630462725
35,4648197.335183565,1e-04,4271528.678341902
36,4581000.562684577,1e-04,4220030.435732648
37,4525170.923411153,1e-04,4152100.693551842
38,4431689.1139659695,1e-04,4079790.0372750643
39,4410251.326770446,1e-04,4057093.135175664
40,4359821.420474302,1e-04,4072837.190017138
41,4284838.937940974,1e-04,3898285.603470437
42,4232088.547312625,1e-04,3830705.414203085
43,4190542.0143943657,1e-04,3786383.306983719
44,4130155.7831791225,1e-04,3743656.335689803
45,4102791.7471185965,1e-04,3693415.2935946872
46,4049689.4719339455,1e-04,3744176.394387318
47,4013492.5771459257,1e-04,3777127.5762639246
48,3990440.9584561363,1e-04,3571898.711546701
49,3935501.277734487,1e-04,3575257.511353899
50,3902102.3495187615,1e-04,3481155.2692802055
51,3876867.7124710483,1e-04,3512925.918487575
52,3854092.50702284,1e-04,3466754.7438946017
53,3827845.614007276,1e-04,3450695.900332048
54,3795254.6669427874,1e-04,3558536.044772922
55,3769230.219599201,1e-04,3590983.8410454155
56,3748450.9252904104,1e-04,3399080.3328513284
57,3711667.2737448793,1e-04,3484926.3413667525
58,3744760.6164454725,1e-04,3327802.462564267
59,3662999.0218827403,1e-04,3441568.3265317054
60,3654692.2527701366,1e-04,3295377.2886139676
61,3651094.0650007143,1e-04,3310479.351810197
62,3609757.6190340095,1e-04,3307213.9322514995
63,3612580.8049978567,1e-04,3277868.6107540703
64,3584822.103764766,1e-04,3265052.1666131103
65,3561821.742894547,1e-04,3200403.4650814054
66,3578359.2045245813,1e-04,3214865.1998179094
67,3563871.985996743,1e-04,3136327.5619108826
68,3535246.2120747296,1e-04,3162488.2887210795
69,3524572.0211221064,1e-04,3160666.295147815
70,3515239.5997137576,1e-04,3126270.4865038563
71,3503529.163609618,1e-04,3189485.9332155096
72,3502938.2542028376,1e-04,3109065.8793916022
73,3487819.7548853243,1e-04,3116217.6421915167
74,3453373.5579856895,1e-04,3093075.5952227935
75,3443869.3108023424,1e-04,3095098.2484468725
76,3446371.2371972348,1e-04,3090071.353577549
77,3431982.5293640443,1e-04,3086399.0914738644
78,3426375.6507774545,1e-04,3063892.1184661523
79,3403546.0430963906,1e-04,3073043.5351863755
80,3412679.4747651117,1e-04,3151344.7970222794
81,3393046.996717068,1e-04,3152834.8144280207
82,3389647.153418834,1e-04,3034152.601703085
83,3403433.295161713,1e-04,3097051.0547879175
84,3394931.0410913536,1e-04,3022110.78802485
85,3373876.181431302,1e-04,3019435.783793916
86,3386428.4775906955,1e-04,3021991.8768209084
87,3356445.7217408097,1e-04,2969344.580655527
88,3338959.3532400625,1e-04,3046879.6915167095
89,3365129.8183688642,1e-04,2991142.9470865466
90,3338639.6101627997,1e-04,3012965.3741431017
91,3361767.5522604673,1e-04,3008599.064642245
92,3340485.8651984646,1e-04,3000344.817373608
93,3322249.1935869325,1e-04,2991908.6379070263
94,3311195.2399011324,1e-04,3063244.779509426
95,3314854.712198649,1e-04,2949129.5306341047
