epoch,loss,lr,val_loss
0,18609198.64843527,1e-04,16864213.286632393
1,15927994.583428599,1e-04,16948007.99228792
2,14224585.374547489,1e-04,13789473.427377893
3,13232074.606896613,1e-04,12425784.698371895
4,12438894.260650365,1e-04,11463430.807626393
5,11744515.754993986,1e-04,10749009.95244216
6,11128636.386890301,1e-04,10041771.017137961
7,10570421.805588799,1e-04,9623989.259211654
8,10056130.397250405,1e-04,9086484.831619537
9,9600982.03271247,1e-04,8736223.91773779
10,9146448.111079356,1e-04,8293817.492502143
11,8758480.465854827,1e-04,7982266.294987147
12,8404058.816963328,1e-04,7673929.960154242
13,8056970.118446789,1e-04,7337255.782240788
14,7738620.767677669,1e-04,7092909.665916881
15,7443577.655173056,1e-04,6783799.337724936
16,7172987.179592979,1e-04,6633531.657240788
17,6913050.739583333,1e-04,6390472.966152528
18,6680731.72982757,1e-04,6272327.9781491
19,6444239.69475356,1e-04,6074205.032455013
20,6250421.311965621,1e-04,5738943.423736076
21,6045826.8172848495,1e-04,5623180.445479863
22,5861695.47505314,1e-04,5502445.464117395
23,5676514.800852327,1e-04,5397661.979327335
24,5509788.548036046,1e-04,5212807.451585261
25,5258056.689778181,1e-04,5555529.997750643
26,5035378.104620665,1e-04,5024782.930377035
27,4843628.058780932,1e-04,5035311.202120823
28,4657797.4981631655,1e-04,4372334.028491859
29,4488639.469451837,1e-04,4242302.991538132
30,4318754.961366938,1e-04,3833905.7080119965
31,4173369.0215195413,1e-04,3687919.5251713796
32,4051108.5707516135,1e-04,3783592.493948158
33,3923317.697762605,1e-04,3481963.2611396746
34,3814617.357289583,1e-04,3451272.726381748
35,3703123.493709512,1e-04,3288751.976328192
36,3611705.6419040114,1e-04,3203797.895244216
37,3509423.61639784,1e-04,3160933.4639567267
38,3414466.8288982864,1e-04,3033274.6599185946
39,3358948.5757824406,1e-04,2944950.1906062555
40,3269018.593099889,1e-04,2997860.3265317054
41,3184415.959617182,1e-04,2774231.9420522708
42,3141282.009027877,1e-04,2739322.111075407
43,3085423.3527053115,1e-04,2823297.029670094
44,3025445.1462436067,1e-04,2659437.0913667525
45,2987076.742780303,1e-04,2559044.2755462723
46,2928413.8021551543,1e-04,2516051.567855613
47,2882926.8016600353,1e-04,2454031.0290274206
48,2861309.6192844533,1e-04,2440686.1374250213
49,2787749.973745103,1e-04,2368021.146904456
50,2769592.4962098547,1e-04,2395022.1283204798
51,2762133.570260402,1e-04,2372821.3096615253
52,2698364.2265639887,1e-04,2291550.737307198
53,2691247.160044239,1e-04,2249465.7085475577
54,2655016.6559054074,1e-04,2293461.9709190233
55,2613997.733193859,1e-04,2252453.6416023993
56,2615350.7293270547,1e-04,2217429.66302485
57,2583834.0926470063,1e-04,2207761.6020244216
58,2566294.7722154246,1e-04,2154850.567534276
59,2533177.813589969,1e-04,2194882.4524421594
60,2512444.0504135853,1e-04,2165767.103791774
61,2503516.185658514,1e-04,2213424.926949443
62,2497812.268521289,1e-04,2107820.0825299914
63,2464334.1293758783,1e-04,2079963.5582155099
