epoch,loss,lr,val_loss
0,16669962.276620701,1e-04,13226811.937874893
1,13363891.115515146,1e-04,12045545.178020565
2,12293239.784681039,1e-04,11438065.446872322
3,11594684.270767838,1e-04,11400364.83419023
4,11044253.975196782,1e-04,10840776.974935733
5,10592780.385562541,1e-04,10152467.860325621
6,10171116.965831012,1e-04,9706102.001285346
7,9808408.79221593,1e-04,9207706.824764352
8,9495066.152500417,1e-04,9265064.821336761
9,9186269.930030605,1e-04,8812855.17202228
10,8889183.296419512,1e-04,8366596.877463582
11,8630921.833540238,1e-04,8141164.432305056
12,8361068.699446865,1e-04,7900334.120394173
13,8096295.041385336,1e-04,7696551.381533847
14,7841334.931087454,1e-04,7462937.630891174
15,7629757.573349826,1e-04,7239287.71625964
16,7413280.1785063585,1e-04,6971853.551949443
17,7184222.9134670915,1e-04,7001057.265317053
18,7003212.305349892,1e-04,6633557.2566409595
19,6787332.971222432,1e-04,6283108.707797772
20,6591428.962140225,1e-04,6437207.268423308
21,6417690.002846051,1e-04,5929194.97911311
22,6242506.062354125,1e-04,5998476.135497001
23,6074345.696437822,1e-04,5641811.178127678
24,5926297.820050521,1e-04,5657628.479434447
25,5777329.589914827,1e-04,5317928.77474293
26,5626475.259899406,1e-04,5087731.602827763
27,5495748.208316959,1e-04,5280674.029562982
28,5363611.100393267,1e-04,4900360.884747216
29,5228196.205124083,1e-04,4921300.082476435
30,5149616.556659046,1e-04,4753048.378963154
31,5020513.302195717,1e-04,4584940.292952014
32,4910844.325118933,1e-04,4529976.265959726
33,4814249.266742879,1e-04,4496920.27613539
34,4706122.549695746,1e-04,4293199.950621251
35,4636057.337676092,1e-04,4242543.83269066
36,4524138.323157807,1e-04,4027916.263389032
37,4443707.020578796,1e-04,3989193.8764995714
38,4379423.19065343,1e-04,3909014.6567587834
39,4309532.316891136,1e-04,3849734.801146101
40,4227802.200933898,1e-04,3999357.1218937445
41,4146471.5678824903,1e-04,3850664.5866538133
42,4110470.7886006865,1e-04,3727979.7196872323
43,4003555.073294379,1e-04,3681275.9322514995
44,3985302.5362052848,1e-04,3540091.616056127
45,3920996.49308024,1e-04,3591991.1258568983
46,3856121.662405777,1e-04,3447150.544719366
47,3805369.2296318295,1e-04,3476219.957422879
48,3763374.6324649304,1e-04,3386962.3397065126
49,3746029.4442906305,1e-04,3326898.981041131
50,3685958.8236430646,1e-04,3329677.960689803
51,3651189.885417783,1e-04,3461962.605237789
52,3636084.9615660277,1e-04,3226463.6082904884
53,3568649.7177541796,1e-04,3320282.287971294
54,3548323.9696520437,1e-04,3105140.107326478
55,3530335.6062424085,1e-04,3160085.8772493573
56,3470476.1925658076,1e-04,3142579.095490574
57,3456553.778728074,1e-04,3182790.8920844044
58,3402407.432693567,1e-04,2995948.764299486
59,3389711.060066641,1e-04,3013158.665167095
60,3383669.211017136,1e-04,3043303.362360754
61,3354997.1814104626,1e-04,3026666.284275921
62,3345476.052882669,1e-04,2997107.979327335
63,3315172.5430022418,1e-04,2956312.5189053128
64,3300550.2011709446,1e-04,3011020.661739503
65,3263806.9934899556,1e-04,2863188.815499143
66,3242914.977692287,1e-04,2898351.222043702
67,3228017.5000874507,1e-04,2860764.6411739504
68,3207552.796402395,1e-04,2844233.515317052
69,3190249.40132002,1e-04,2820681.8148029135
70,3201873.9446568065,1e-04,2844191.569087404
71,3174823.506946181,1e-04,2844571.608879606
72,3156528.4799101828,1e-04,2857079.098918166
73,3136923.0777234714,1e-04,2787253.5027313624
74,3149339.206084923,1e-04,2774462.9588688947
75,3102383.00680626,1e-04,2762349.33531491
76,3145410.3754063663,1e-04,2765739.4176842333
77,3113563.1007802826,1e-04,2751016.4773993143
78,3092071.2864360055,1e-04,2793013.1745929737
79,3130460.10707077,1e-04,2788397.8917095116
80,3057351.6415419285,1e-04,2858881.888603256
81,3064274.2685871557,1e-04,2703600.6434233077
82,3036043.4321543504,1e-04,2731880.935518423
83,3029680.358902395,1e-04,2756420.284115253
84,3051851.362322643,1e-04,2688379.54038132
85,3026385.7782796575,1e-04,2662917.408847472
86,3051334.223774129,1e-04,2682275.0487360754
87,3011869.860496972,1e-04,2714675.756319623
88,3020016.160185648,1e-04,2672949.917095116
89,3000881.8032108876,1e-04,2688559.163399743
90,3004313.5929685268,1e-04,2677756.3030741215
91,2986154.0018669767,1e-04,2700440.7675664094
92,2993450.8033515527,1e-04,2755237.321229649
93,2974521.418806415,1e-04,2741692.0037489287
94,2993080.856295251,1e-04,2658075.540970437
95,2956297.3914107527,1e-04,2681834.887371465
96,2962170.030964576,1e-04,2646412.375482005
97,2973953.1481464943,1e-04,2643086.6844473006
98,2936993.042572059,1e-04,2603718.692105827
99,2933641.0329751954,1e-04,2645634.339492288
100,2957222.6725143194,1e-04,2643625.355987575
101,2938711.5446965504,1e-04,2592959.8073050557
102,2923929.871232927,1e-04,2645349.363324764
103,2952982.0979692116,1e-04,2651745.0720865466
104,2918312.0492901243,1e-04,2624618.6201799484
105,2936117.133103878,1e-04,2585219.570586975
106,2905859.436050367,1e-04,2596901.821443873
107,2903387.4413984353,1e-04,2591544.7704584403
108,2914054.1543573462,1e-04,2569081.2049057414
109,2901835.942873559,1e-04,2630473.5478256214
110,2997906.729681695,1e-04,2583222.023618252
111,2926625.345520595,1e-04,2661053.2701371037
112,2893403.6345696985,1e-04,2603518.7882390744
113,2916496.8684047377,1e-04,2581018.1902849185
114,2879034.0249937484,1e-04,2576813.772332905
115,2904142.6486540795,1e-04,2571854.6136996574
116,2897448.6149923042,1e-04,2597067.3080012854
117,2884427.739595986,1e-04,2576571.5545736933
118,2892500.42822875,1e-04,2539220.594526564
119,2887999.4390324317,1e-04,2561615.699175236
120,2851051.444805659,1e-04,2545194.8363860324
121,2856227.0531016677,1e-04,2539197.9893958867
122,2851330.565929551,1e-04,2523460.478041988
123,2877677.061041994,1e-04,2543963.6620072834
124,2876715.384476294,1e-04,2570834.2158311913
125,2869554.7777460227,1e-04,2549334.7447514995
126,2868858.026660519,1e-04,2551895.670201371
127,2867690.9762634933,1e-04,2580655.9553341903
128,2843239.6015468705,1e-04,2555965.7860968295
129,2840240.7840997726,1e-04,2522158.8191945157
130,2833089.1746388106,1e-04,2532287.6813410455
131,2860465.5568428775,1e-04,2547670.0419880035
132,2872202.1129199117,1e-04,2512909.618680377
133,2823893.83129406,1e-04,2547049.370769066
134,2837551.6451653596,1e-04,2512084.2933804626
135,2823080.2359312484,1e-04,2505872.7228470435
136,2837291.1493112617,1e-04,2513584.9665809767
137,2802213.5088697216,1e-04,2553667.0251713796
138,2820345.3602934172,1e-04,2512709.6341580977
139,2808756.4746445413,1e-04,2497021.850631962
140,2832977.631970742,1e-04,2564120.8760175663
141,2798915.4784313375,1e-04,2545735.619162382
142,2788933.822306373,1e-04,2504396.393209083
143,2819568.223322735,1e-04,2575455.80227078
144,2840719.740437744,1e-04,2515286.605237789
145,2829126.615800571,1e-04,2482473.307894173
146,2787448.709859439,1e-04,2545035.1591688087
147,2800132.406118638,1e-04,2529064.828031277
148,2781746.0146797895,1e-04,2548696.7880784064
149,2782767.190693435,1e-04,2518446.5898136245
150,2789622.553727404,1e-04,2482139.860914739
151,2794354.4308444527,1e-04,2554037.9672236503
152,2802796.0684055192,1e-04,2492029.8539524423
153,2794512.275711215,1e-04,2496996.906276778
154,2791817.799339618,1e-04,2502241.8963688947
155,2789211.7511307173,1e-04,2541654.639353042
156,2801656.6665193033,1e-04,2466072.641334619
157,2781482.95402295,1e-04,2509989.4604755784
158,2781945.2318519577,1e-04,2479165.2581940875
159,2762711.7073546313,1e-04,2480275.5653384747
160,2780643.374835146,1e-04,2489392.1163774636
161,2775039.6938928235,1e-04,2476705.383033419
162,2740164.457316674,1e-04,2451060.559072408
163,2778801.795247303,1e-04,2466400.8841045415
164,2769403.428902305,1e-04,2456576.1518851756
165,2776764.0150493146,1e-04,2482066.9481041133
166,2760763.517400433,1e-04,2500770.068391174
167,2770803.1673431993,1e-04,2459221.864556555
168,2749041.853778163,1e-04,2485508.2058697515
169,2774553.9253514395,1e-04,2468165.0573050557
170,2767432.0824699914,1e-04,2462920.5801199656
